Input Term,Best Match,URI,Similarity Score
1 each cheek below right eye,ocular side,http://purl.obolibrary.org/obo/UBERON_2002255,0.5944
1 of each pectoral fin,pectoral fin,http://purl.obolibrary.org/obo/UBERON_0000151,0.8647
1 on each cheek below eye,cheek scale,http://purl.obolibrary.org/obo/UBERON_0018312,0.624
1 on each cheek below left eye,cheek scale,http://purl.obolibrary.org/obo/UBERON_0018312,0.6061
1 right eye,right eye,http://purl.obolibrary.org/obo/UBERON_0004549,0.8677
1st gill arch on racker,pharyngeal arch derived gill,http://purl.obolibrary.org/obo/UBERON_0011150,0.6044
1 under each eye,multi-unit eye,http://purl.obolibrary.org/obo/UBERON_0015165,0.6349
1 under left eye,left eye,http://purl.obolibrary.org/obo/UBERON_0004548,0.7483
1 under lf eye,eye,http://purl.obolibrary.org/obo/UBERON_0000970,0.5557
2 guts,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,matched
3),unidentified,,
3,unidentified,,
3rd toe,toe disc,http://purl.obolibrary.org/obo/UBERON_4200151,0.6596
3's,unidentified,,
3 under rt eye,eye,http://purl.obolibrary.org/obo/UBERON_0000970,0.5324
4,unidentified,,
4th stomach,abomasum,http://purl.obolibrary.org/obo/UBERON_0007358,
5),unidentified,,
abd,abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,
abd. cavity,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.7978
abd cavity,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,
abd. mesenteric venules,peritoneal mesentery,http://purl.obolibrary.org/obo/UBERON_0007826,0.5937
abdo cavity,abdominopelvic cavity,http://purl.obolibrary.org/obo/UBERON_0035819,0.8759
abdomen,abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,1
abdomen (encysted),abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,0.8115
abdomen (respiratory structure,unidentified,,
abdomen skin,skin of abdomen,http://purl.obolibrary.org/obo/UBERON_0001416,0.9783
abdomimal cavity,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,
